model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 A Class,2019.0,21835,Semi-Auto,9422.0,Diesel,145.0,67.3,1.5
 SL CLASS,2017.0,20498,Semi-Auto,18076.0,Diesel,30.0,70.6,2.1
 E Class,2019.0,26999,Semi-Auto,6134.0,Diesel,150.0,72.4,2.0
 C Class,2016.0,19698,Semi-Auto,41056.0,Diesel,20.0,67.3,2.1
 GLA Class,2016.0,15998,Manual,34699.0,Diesel,20.0,67.3,2.1
 E Class,2019.0,25499,Semi-Auto,5600.0,Diesel,145.0,67.3,2.0
 C Class,2016.0,15998,Semi-Auto,25202.0,Diesel,30.0,65.7,1.6
 S Class,2018.0,56000,Semi-Auto,2286.0,Petrol,145.0,40.9,3.0
 C Class,2016.0,22998,Semi-Auto,23090.0,Diesel,30.0,65.7,2.1
 E Class,2017.0,54999,Semi-Auto,18682.0,Petrol,150.0,31.0,4.0
 GLA Class,2015.0,17485,Semi-Auto,36462.0,Diesel,125.0,55.4,2.1
 C Class,2020.0,34999,Semi-Auto,1500.0,Petrol,145.0,46.3,1.5
 GLC Class,2017.0,25998,Semi-Auto,20804.0,Diesel,125.0,56.5,2.1
 A Class,2018.0,20490,Semi-Auto,640.0,Petrol,145.0,53.3,1.3
 A Class,2019.0,21498,Semi-Auto,4138.0,Diesel,145.0,65.7,1.5
 GLA Class,2019.0,22599,Semi-Auto,5026.0,Diesel,145.0,67.3,2.1
 GLA Class,2018.0,21999,Semi-Auto,15381.0,Diesel,145.0,56.5,2.1
 GLE Class,2016.0,27998,Semi-Auto,24732.0,Diesel,200.0,47.9,2.1
 E Class,2017.0,23390,Semi-Auto,18362.0,Diesel,145.0,70.6,2.0
 A Class,2016.0,15990,Manual,19715.0,Diesel,30.0,62.8,2.1
 C Class,2017.0,17490,Semi-Auto,35576.0,Diesel,145.0,64.2,2.1
 GLA Class,2017.0,15495,Manual,65261.0,Diesel,30.0,64.2,2.1
 V Class,2017.0,29998,Semi-Auto,41298.0,Diesel,205.0,45.6,2.2
 A Class,2018.0,18290,Semi-Auto,7034.0,Diesel,145.0,68.9,1.5
 A Class,2018.0,20855,Semi-Auto,8279.0,Petrol,145.0,53.3,1.3
 C Class,2014.0,15498,Semi-Auto,36243.0,Diesel,30.0,64.2,2.1
 E Class,2017.0,25995,Automatic,22000.0,Diesel,145.0,70.6,2.0
 GLE Class,2017.0,28991,Semi-Auto,17314.0,Diesel,145.0,47.9,2.1
 A Class,2017.0,27990,Semi-Auto,17299.0,Petrol,200.0,40.9,2.0
 E Class,2016.0,18295,Semi-Auto,20582.0,Diesel,125.0,58.9,2.1
 GLE Class,2016.0,30998,Semi-Auto,19574.0,Diesel,240.0,42.8,3.0
 A Class,2018.0,16499,Manual,30066.0,Diesel,150.0,68.9,1.5
 GLC Class,2016.0,23790,Semi-Auto,32549.0,Diesel,125.0,56.5,2.1
 SL CLASS,2019.0,32998,Semi-Auto,17.0,Petrol,145.0,47.1,2.0
 A Class,2019.0,20990,Semi-Auto,14975.0,Diesel,145.0,67.3,1.5
 C Class,2018.0,29498,Semi-Auto,6198.0,Diesel,145.0,54.3,2.0
 S Class,2015.0,28998,Semi-Auto,16382.0,Diesel,200.0,47.9,3.0
 B Class,2010.0,3890,Automatic,71000.0,Petrol,240.0,40.9,1.5
 A Class,2016.0,13490,Semi-Auto,33530.0,Diesel,20.0,74.3,1.5
 GLC Class,2019.0,33990,Semi-Auto,5830.0,Diesel,150.0,40.9,2.0
 SL CLASS,2017.0,20298,Semi-Auto,20055.0,Diesel,30.0,70.6,2.1
 A Class,2016.0,14999,Semi-Auto,19286.0,Petrol,125.0,53.3,1.6
 B Class,2019.0,20882,Automatic,14257.0,Petrol,145.0,45.6,1.3
 GLA Class,2015.0,17491,Semi-Auto,33204.0,Diesel,125.0,55.4,2.1
 GLC Class,2018.0,28499,Semi-Auto,21659.0,Diesel,145.0,56.5,2.1
 SL CLASS,2019.0,30670,Automatic,3000.0,Petrol,145.0,47.1,2.0
 E Class,2016.0,18300,Automatic,36188.0,Diesel,30.0,65.7,2.0
 CLS Class,2015.0,20498,Semi-Auto,41955.0,Diesel,165.0,51.4,3.0
